review,Used it for,Owned for,Ridden for,rating,Visual Appeal,Reliability,Performance,Service Experience,Extra Features,Comfort,Maintenance cost,Value for Money,Model Name
,Daily Commute,Never owned,,4,4,3,,4,,4,,4,Hero Electric Flash
,Daily Commute,3-6 months,< 5000 kms,5,5,4,,4,,4,,5,Hero Electric Flash
,Daily Commute,Never owned,,5,,,,,,,,,Hero Electric Flash
,Daily Commute,> 1 yr,< 5000 kms,3,3,4,,3,,3,,3,Hero Electric Flash
,Daily Commute,> 1 yr,< 5000 kms,5,,,,,,,,4,Hero Electric Flash
,Daily Commute,< 3 months,< 5000 kms,4,3,3,,4,,3,,4,Hero Electric Flash
,Daily Commute,< 3 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Flash
Awesome bike for daily use in local.It is a vibration and soundless eco-friendly bike with electric charging 6 to 8 hrs for 55 km approx.Very useful for daily use.Alloy wheels with 25 km/h ideal speed .Especially i referred this for kids and parents.I also ride this bike for daily use and pleasure to buy again for my father .,Everything,Never owned,,4,4,3,,4,,4,,4,Hero Electric Flash
"I ride this flash bike.This is very good and smooth ride.Its light weight.Low maintenance,its ride like a batter,this bike looks very nice,but one problem is its speed is too low.But its comfortable for lady. I want again buy this bike for my wife. This is amazing gift for my wife. So i want to buy this flash bike.",Daily Commute,3-6 months,< 5000 kms,4,4,,,3,,4,,4,Hero Electric Flash
"This bike is very cheap in prices.This bike riding is awesome, looks are very excited this bike and performance is very very great ..This bike is service and maintenance free..And this bike is very beautiful and useful...And i am excited for used this bike and i will suggest for the closed people for used this bike...",Daily Commute,Never owned,,5,5,5,,5,,5,,4,Hero Electric Flash
"I have used this bike of one of my friend, it is superb for daily city ride with amazing features ,it is well balanced and nicely designed bike for ladies , office uses and collage students and perfect for Indian roads with no patrol cost and lots of savings thanks to hero for inventing such a nice e bike.",Daily Commute,Never owned,,5,3,3,,4,,4,,4,Hero Electric Flash
"Amazing electric scooter.
Completed 2800 kms. It gives a 100 kms range for a single rider weighing 45 kg.
And 85 kms range for single rider weighing 90 kg.
It's rs 10 for a 100 kms ride.
Consumes one unit of electricity for a full charge.
Perfect for students, teenagers, retired citizens and to all those who are not in a hurry.",Everything,6 months-1 yr,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Flash
"Very profitable for you wallet Its an very easy bike to ride, sound less very smooth bike for children, ladies &man also for local used.Look was was very good its have very less service amount as compare to other petrol scooties You bike this vehicle for your children because its doesn't required license & insurance also.",Everything,< 3 months,5000-10000 kms,5,,,,,,,,,Hero Electric Flash
Very burst electric bike. I am not satisfied with his charging system or pickup. After 20-25 km bike going shut down automatically. Last night bike gone shut down before 2 km from my home and I pulled it to home 2 km at 11 pm. Please take back your bike. And i visit to your showroom and they me back without any work on bike. They were also very unfamiliar.,Daily Commute,3-6 months,< 5000 kms,1,2,1,,1,,1,,1,Hero Electric Flash
"I am rightfully thankful to the maker of this bike.This bike will be very beneficial for the students.In the coming days, we feel that only electric bikes will be trending.Hero electric bike is very good choice for those people who are still poor in our country India. This bike is not only cheap but also good for environment.I would like to thank the hero company too.",Everything,Never owned,,5,5,5,,5,,5,,5,Hero Electric Flash
"Good bike, i think because it is nice looking bike which comes with many features and one of best feature is that it is an electronic bike. If you buy this so you will see that it price is lower than the other vehicles which are available in the market. I am very much satisfied with this bike's performance.",Daily Commute,> 1 yr,10000-15000 kms,3,3,3,,3,,3,,4,Hero Electric Flash
"This vehicle is good for environment . Other vehicle produced the bad gases and heat. Nowadays, petrol prices are increased . Electric vehicle is cheaper as compared to petrol. Soundless vehicle. Boot space is large. Maintenance cost low as compared to petrol vehicle",Everything,> 1 yr,< 5000 kms,5,5,5,,5,,5,,1,Hero Electric Flash
"Don't buy this product. You will never able to know how much battery left and mileage. Once fully charged you are never able to get total kilometers it runs. Its a toy, no use. Go for some other good brand. This brand is sheer wastage of money. Worst display and its software. Night lamps are also not so good.",Daily Commute,> 1 yr,< 5000 kms,1,3,1,,3,,2,,1,Hero Electric Flash
"I had taken a ride of this ebike in gorakhpur. It's run very smoothly and well.
I think a best scooty in this price is unvalued.
May be able to afford this is a dream for me and many younger like me.
Look is attractive and performance is also good. Serving and maintenance services are quite easy.
Biggest problem is not to rate of fuel and cons is build quality material.",Everything,Never owned,,5,5,5,,5,,5,,5,Hero Electric Flash
Superb electric bike .... Nil maintenance ...... Everything is perfect in hero flash. ... Smooth ride... Best pick up in segment ...Stylish look .... Value for money ... Go for it without any hesitation ... Low cost... Highly affordable with best mileage...........Replace your petrol bikes with this .,Daily Commute,3-6 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Flash
Its good looking good average..Its mileage is also fine..Its worth of money..I bought it and gifted to dad..Initially he was not happy but as he started the ride for few days he became comfortable and started enjoying the ride and said its worth of money and he carry out its daily routine task on the flash only.,Daily Commute,6 months-1 yr,< 5000 kms,4,4,4,,4,,4,,,Hero Electric Flash
Very less price and smooth driving. Mostly sound pollution less driving. And tension free from any type of documents and police inquiry. Saving money with many activities like oil servicing. Mileage is very important think for bike and that's are truly found in this bike . This bike takes very important place for poor family .,Daily Commute,> 1 yr,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Flash
I brought this bike for my mom...She is so happy and comfortable to ride this ... It's look is amazing ...Good value of money.. I used to ride this scooty ... It does not requires driving license as it is eco friendly ... We are also making our environment happy and green ...,Everything,6 months-1 yr,< 5000 kms,4,4,4,,4,,4,,4,Hero Electric Flash
It's an amazing bike for daily use value for money and time riding suits for all ages....!Capable two seater and mileage is good according to e- bike ride.Focus headlights is good design and indicators. Wheels and brakes are comfortable as per speed of bike.All over well designed and slim look ride in traffic places....,Daily Commute,Never owned,,4,4,4,,4,,4,,4,Hero Electric Flash
"Just checked with my neighbour with his experienced, its too good & comfort to drive in any atmosphere. Specially for the elder people its easy to handle & control with its specific road grip with passionate look for all.Now a days fuel is putting burden on everyone shoulder so, this will be its replacement.",Daily Commute,Never owned,,4,4,,,3,,4,,4,Hero Electric Flash
